_ESTYPE_,_TYPE_,_WEIGHT_,Banten,DIY,DKI_Jakarta,Jawa_Barat,Jawa_Tengah,Jawa_Timur
OLS,RESIDUAL,1,0.04,0.21,0.07,0.03,-0.06,0.04
OLS,RESIDUAL,1,0.11,-0.08,-0.06,-0.04,0.05,0.07
OLS,RESIDUAL,1,0.11,0.51,-0.24,0.19,0.15,0.56
OLS,RESIDUAL,1,0.24,0.53,-0.27,0.13,0.19,0.67
OLS,RESIDUAL,1,-0.30,-0.38,0.56,-0.30,-0.28,-0.43
OLS,RESIDUAL,1,-0.23,-0.59,-0.23,-0.11,-0.12,-0.81
OLS,RESIDUAL,1,0.16,0.15,0.08,0.22,0.11,0.41
OLS,RESIDUAL,1,0.09,-0.03,0.03,-0.04,-0.04,-0.09
OLS,RESIDUAL,1,0.02,0.07,-0.03,0.02,0.09,0.11
OLS,RESIDUAL,1,0.05,-0.00,-0.02,0.01,0.04,0.05
OLS,RESIDUAL,1,0.05,0.21,-0.17,0.07,0.07,0.11
OLS,RESIDUAL,1,0.07,-0.07,0.01,0.02,-0.08,-0.04
OLS,RESIDUAL,1,-0.10,-0.20,0.14,-0.09,-0.11,-0.05
OLS,RESIDUAL,1,-0.02,-0.17,0.10,-0.06,-0.01,-0.43
OLS,RESIDUAL,1,0.01,-0.06,0.01,0.03,0.01,-0.01
OLS,RESIDUAL,1,0.11,0.43,-0.15,0.07,0.10,0.35
OLS,RESIDUAL,1,0.02,-0.01,0.06,-0.04,-0.02,0.05
OLS,RESIDUAL,1,-0.18,-0.36,0.11,-0.17,-0.12,-0.41
OLS,RESIDUAL,1,0.02,-0.09,-0.02,0.08,0.09,-0.03
OLS,RESIDUAL,1,-0.29,-0.43,0.28,-0.18,-0.28,-0.53
OLS,RESIDUAL,1,0.10,0.02,-0.09,0.12,0.06,0.12
OLS,RESIDUAL,1,0.00,0.07,-0.07,0.04,0.02,0.17
OLS,RESIDUAL,1,0.02,0.36,-0.08,0.02,0.13,0.22
OLS,RESIDUAL,1,-0.10,-0.44,0.16,-0.16,-0.19,-0.44
OLS,RESIDUAL,1,0.06,-0.24,-0.02,0.09,0.05,0.09
OLS,RESIDUAL,1,-0.03,-0.17,0.01,-0.02,-0.08,-0.42
