_ESTYPE_,_TYPE_,_WEIGHT_,Banten,DIY,DKI_Jakarta,Jawa_Barat,Jawa_Tengah,Jawa_Timur
OLS,RESIDUAL,1,-0.15,-0.29,0.11,-0.15,-0.19,-0.29
OLS,RESIDUAL,1,0.00,0.05,-0.03,0.01,-0.02,-0.13
OLS,RESIDUAL,1,0.02,0.03,0.05,0.04,0.01,-0.00
OLS,RESIDUAL,1,-0.04,0.11,-0.01,0.01,0.04,0.15
OLS,RESIDUAL,1,0.05,-0.07,0.02,0.03,-0.04,0.07
OLS,RESIDUAL,1,-0.01,0.08,-0.01,-0.02,0.05,-0.01
OLS,RESIDUAL,1,-0.03,-0.22,-0.02,0.01,-0.05,-0.28
OLS,RESIDUAL,1,0.03,-0.44,0.00,-0.03,-0.03,-0.26
OLS,RESIDUAL,1,-0.09,0.08,0.13,-0.03,-0.06,0.06
OLS,RESIDUAL,1,-0.02,-0.20,0.06,0.06,-0.03,-0.03
OLS,RESIDUAL,1,-0.05,-0.30,0.11,-0.12,-0.11,-0.58
OLS,RESIDUAL,1,-0.04,-0.14,0.11,-0.03,-0.04,0.02
OLS,RESIDUAL,1,-0.02,-0.19,0.07,-0.01,-0.07,-0.40
OLS,RESIDUAL,1,0.02,-0.08,0.08,-0.02,-0.02,-0.12
OLS,RESIDUAL,1,-0.00,-0.11,-0.03,0.04,-0.05,0.02
OLS,RESIDUAL,1,0.02,0.16,0.01,0.05,0.00,0.12
OLS,RESIDUAL,1,0.06,0.11,0.06,-0.05,-0.05,-0.06
OLS,RESIDUAL,1,0.02,-0.14,0.01,-0.01,-0.01,-0.07
OLS,RESIDUAL,1,-0.04,-0.14,0.07,-0.05,-0.03,-0.12
OLS,RESIDUAL,1,0.01,-0.19,0.05,0.03,-0.04,-0.10
OLS,RESIDUAL,1,0.00,-0.14,-0.07,0.02,-0.03,0.04
OLS,RESIDUAL,1,-0.11,-0.18,0.31,-0.11,-0.13,-0.12
OLS,RESIDUAL,1,0.03,-0.08,0.04,0.01,-0.01,-0.03
OLS,RESIDUAL,1,0.04,-0.19,0.04,-0.02,-0.05,-0.01
OLS,RESIDUAL,1,-0.04,-0.39,0.12,-0.07,-0.08,-0.35
OLS,RESIDUAL,1,0.02,0.10,0.03,0.01,0.01,0.08
OLS,RESIDUAL,1,0.03,0.08,-0.04,0.03,-0.02,0.00
OLS,RESIDUAL,1,0.12,0.26,-0.03,0.03,0.05,0.25
OLS,RESIDUAL,1,0.06,0.09,-0.03,0.01,-0.01,-0.02
OLS,RESIDUAL,1,-0.09,-0.24,0.15,-0.04,-0.06,-0.24
OLS,RESIDUAL,1,0.15,0.40,-0.12,0.06,0.12,0.38
OLS,RESIDUAL,1,0.03,0.33,-0.10,0.09,0.09,0.26
OLS,RESIDUAL,1,-0.09,0.17,0.10,-0.10,0.03,-0.03
OLS,RESIDUAL,1,0.11,0.12,-0.07,0.03,0.13,0.12
OLS,RESIDUAL,1,-0.02,0.05,-0.09,0.02,0.01,0.13
OLS,RESIDUAL,1,-0.08,-0.41,0.20,-0.11,-0.20,-0.24
OLS,RESIDUAL,1,0.23,0.62,-0.28,0.21,0.23,0.77
OLS,RESIDUAL,1,-0.15,-0.44,0.25,-0.16,-0.18,-0.27
OLS,RESIDUAL,1,0.01,0.18,0.02,-0.01,0.05,0.16
OLS,RESIDUAL,1,0.15,0.18,-0.08,0.13,0.06,0.14
