Index,Year,Month,Banten,DIY,DKI Jakarta,West Java,Central Java,East Java
100,2016,4,-0.64,-0.16,-0.27,-0.37,-0.46,-0.25
101,2016,5,0.29,0.08,0.19,0.25,0.13,0.14
102,2016,6,0.55,0.43,0.52,0.72,0.41,0.6
103,2016,7,0.44,0.94,0.64,0.47,1,0.76
104,2016,8,-0.05,-0.04,0.01,-0.17,-0.28,-0.05
105,2016,9,0.34,-0.16,0.18,0.22,0.09,0.16
106,2016,10,0.08,0.05,0.25,0.09,0.05,-0.14
107,2016,11,0.52,0.32,0.24,0.55,0.56,0.33
108,2016,12,0.61,0.35,0.27,0.36,0.21,0.56
109,2017,1,0.71,1.24,0.99,0.77,1.16,1.52
110,2017,2,0.47,0.36,0.33,0.36,0.51,0.25
111,2017,3,0.09,-0.06,0.05,0.08,-0.12,-0.09
112,2017,4,0.06,0.28,-0.02,0.17,0.58,0.29
113,2017,5,0.53,0.33,0.49,0.45,0.61,0.48
114,2017,6,0.72,0.61,0.46,0.88,0.61,0.49
115,2017,7,0.07,0.43,0.4,0.01,0.14,0.15
116,2017,8,-0.01,-0.45,0.13,-0.09,-0.51,-0.25
117,2017,9,0.25,0.13,0.05,0.18,0.2,0.19
118,2017,10,-0.02,0.16,0.06,-0.01,-0.06,0.02
119,2017,11,0.35,0.2,0.08,0.21,0.29,0.23
120,2017,12,0.7,0.9,0.65,0.56,0.71,0.71
121,2018,1,0.22,0.55,0.43,0.83,0.88,0.6
122,2018,2,0.25,-0.05,0.37,0.36,0.36,0.16
123,2018,3,0.39,0.15,0.09,0.29,0,0.06
124,2018,4,0.31,0.1,0.06,-0.04,0,0.18
125,2018,5,0.1,0.08,0.45,0.28,-0.01,0.17
126,2018,6,0.37,0.46,0.48,0.47,0.7,0.42
127,2018,7,0.52,0.56,0.26,0.37,0.1,0.07
128,2018,8,0.2,-0.26,0.03,-0.01,-0.21,0.11
129,2018,9,0,-0.11,-0.13,-0.18,-0.01,-0.01
130,2018,10,0.01,0.13,0.28,0.29,0.3,0.19
131,2018,11,0.4,0.46,0.3,0.28,0.24,0.27
132,2018,12,0.63,0.57,0.6,0.55,0.44,0.6
133,2019,1,0.35,0.42,0.24,0.33,0.26,0.34
134,2019,2,0,-0.08,0.26,-0.05,-0.3,-0.18
135,2019,3,0.08,0.26,0.14,0.1,0.3,0.16
136,2019,4,0.46,0.46,0.4,0.41,0.45,0.41
137,2019,5,0.49,0.42,0.59,0.85,0.33,0.29
138,2019,6,0.55,0.25,0.47,0.48,0.6,0.13
139,2019,7,0.34,0.05,0.25,0.39,0.39,0.16
140,2019,8,0.42,0.07,0.17,0.39,0.33,0.12
141,2019,9,-0.12,-0.07,-0.04,-0.24,-0.24,-0.07
142,2019,10,0.13,0.18,0.21,-0.07,0.01,-0.02
143,2019,11,0.36,0.31,0.19,0.22,0.2,0.23
144,2019,12,0.21,0.46,0.3,0.35,0.45,0.53
145,2020,1,0.42,0.27,0.25,0.47,0.09,0.5
146,2020,2,0.23,0.4,0.27,0.31,0.44,0.31
147,2020,3,0.04,0.07,0.33,0.31,0.02,-0.01
148,2020,4,0.25,-0.24,0.29,0.13,-0.01,-0.12
149,2020,5,0.06,0.22,-0.02,-0.11,0.07,0.18
150,2020,6,0.16,0.08,0.06,0.32,0.2,0.28
151,2020,7,-0.06,-0.08,-0.05,-0.07,-0.09,-0.29
152,2020,8,-0.08,-0.04,-0.1,-0.08,-0.03,0.04
153,2020,9,-0.05,0.03,0.02,-0.01,0.04,-0.15
154,2020,10,0.11,0.08,0.01,0.07,0.17,-0.02
155,2020,11,0.14,0.13,0.27,0.29,0.18,0.26
156,2020,12,0.21,0.48,0.26,0.52,0.46,0.46
157,2021,1,0.34,0.54,0.14,0.16,0.22,0.32
158,2021,2,0.25,0.14,0.18,0.19,0.17,0.22
159,2021,3,0.05,0.08,0.06,0.01,0.08,0.11
160,2021,4,0.17,0.01,0.08,0.22,0.04,0.1
161,2021,5,0.23,0.07,0.41,0.38,0.17,0.27
162,2021,6,-0.17,0.05,-0.27,-0.23,-0.17,0.14
163,2021,7,0.03,0.11,-0.04,0.11,0.06,0.17
164,2021,8,0.13,0.05,0.08,0.14,-0.01,0.26
165,2021,9,-0.1,-0.17,-0.06,-0.11,-0.1,-0.11
166,2021,10,0.09,0.24,0.08,0.07,0.25,0.18
167,2021,11,0.19,0.45,0.4,0.27,0.34,0.35
168,2021,12,0.69,0.71,0.45,0.46,0.64,0.69
169,2022,1,0.69,0.59,0.46,0.45,0.43,0.46
170,2022,2,0.08,0.05,-0.05,0.26,0.01,0.05
171,2022,3,1.04,0.77,0.44,0.69,0.75,0.71
172,2022,4,0.97,1.14,0.7,1.07,1.07,1.05
173,2022,5,0.19,0.75,0.06,0.34,0.58,0.49
174,2022,6,0.65,0.52,0.32,0.57,0.85,0.52
175,2022,7,0.28,0.47,0.57,0.62,0.51,0.61
176,2022,8,-0.16,-0.12,-0.11,-0.06,-0.39,0.09
177,2022,9,1.12,1.05,1.21,1.21,1.19,1.41
178,2022,10,-0.12,0.11,-0.05,-0.11,-0.12,0.42
179,2022,11,-0.1,0.32,0.05,0.1,0.15,0.32
180,2022,12,0.45,0.65,0.55,0.74,0.47,0.6
181,2023,1,0.48,0.17,0.09,0.47,0.32,0.36
182,2023,2,0.23,0.27,0.19,0.35,0.29,0.1
183,2023,3,0.12,0.6,0.36,-0.18,0.19,0.39
184,2023,4,0.58,0.22,0.4,0.4,0.28,0.3
185,2023,5,0.09,0.35,-0.1,0.12,0.22,0.18
186,2023,6,0.15,0.02,0.01,0.15,0.03,0.1
187,2023,7,0.06,0.28,0.19,0.21,0.2,0.15
188,2023,8,0.12,-0.04,0.01,-0.05,0.03,0.11
189,2023,9,0.22,0.29,0.19,0.11,0.41,0.32
190,2023,10,0.18,0.25,0.13,0.13,0.18,0.27
191,2023,11,0.57,0.35,0.3,0.36,0.49,0.31
192,2023,12,0.48,0.35,0.5,0.37,0.21,0.29
