_ESTYPE_,_TYPE_,_WEIGHT_,Banten,DIY,DKI_Jakarta,Jawa_Barat,Jawa_Tengah,Jawa_Timur
OLS,RESIDUAL,1,-0.03,-0.14,0.06,0.12,0.07,0.02
OLS,RESIDUAL,1,0.05,0.15,-0.09,0.06,0.07,0.07
OLS,RESIDUAL,1,0.09,0.32,-0.18,0.10,-0.01,0.10
OLS,RESIDUAL,1,0.03,-0.28,0.05,-0.06,-0.02,-0.01
OLS,RESIDUAL,1,-0.09,0.17,0.09,-0.04,-0.06,0.00
OLS,RESIDUAL,1,0.10,-0.06,-0.08,0.03,0.09,0.08
OLS,RESIDUAL,1,0.03,0.48,-0.22,0.21,0.14,0.56
OLS,RESIDUAL,1,0.17,0.58,-0.27,0.11,0.18,0.72
OLS,RESIDUAL,1,-0.41,-0.41,0.56,-0.35,-0.34,-0.45
OLS,RESIDUAL,1,-0.07,-0.73,-0.26,0.08,-0.07,-0.97
OLS,RESIDUAL,1,0.21,0.15,0.16,-0.03,0.12,0.39
OLS,RESIDUAL,1,0.06,0.09,-0.01,0.00,0.01,0.06
OLS,RESIDUAL,1,-0.00,0.02,-0.03,0.06,0.10,0.05
OLS,RESIDUAL,1,-0.02,0.01,-0.02,0.03,0.03,0.07
OLS,RESIDUAL,1,0.05,0.20,-0.17,0.06,0.06,0.10
OLS,RESIDUAL,1,-0.01,-0.05,0.03,-0.02,-0.11,-0.02
OLS,RESIDUAL,1,-0.17,-0.24,0.16,-0.17,-0.09,-0.07
OLS,RESIDUAL,1,0.01,-0.18,0.09,0.01,0.03,-0.45
OLS,RESIDUAL,1,0.06,-0.05,0.01,0.06,0.01,-0.04
OLS,RESIDUAL,1,0.10,0.45,-0.14,0.10,0.11,0.42
OLS,RESIDUAL,1,0.01,0.03,0.05,0.02,-0.03,0.09
OLS,RESIDUAL,1,-0.21,-0.42,0.11,-0.13,-0.12,-0.47
OLS,RESIDUAL,1,0.06,-0.12,-0.00,0.06,0.11,-0.08
OLS,RESIDUAL,1,-0.26,-0.37,0.28,-0.18,-0.28,-0.47
OLS,RESIDUAL,1,0.29,-0.03,-0.09,0.12,0.13,0.08
OLS,RESIDUAL,1,0.04,0.15,-0.08,0.07,0.04,0.25
OLS,RESIDUAL,1,-0.00,0.36,-0.07,-0.04,0.13,0.22
OLS,RESIDUAL,1,-0.07,-0.43,0.15,-0.09,-0.24,-0.44
OLS,RESIDUAL,1,0.07,-0.33,0.01,0.07,0.08,0.00
OLS,RESIDUAL,1,-0.08,-0.09,0.02,-0.07,-0.05,-0.36
OLS,RESIDUAL,1,0.07,0.09,0.05,0.05,0.05,0.17
OLS,RESIDUAL,1,0.02,0.02,-0.01,-0.03,-0.07,0.16
OLS,RESIDUAL,1,0.02,0.52,-0.19,0.09,0.20,0.59
OLS,RESIDUAL,1,0.02,-0.14,0.04,0.01,-0.03,-0.29
OLS,RESIDUAL,1,-0.08,-0.34,0.10,-0.06,-0.15,-0.35
OLS,RESIDUAL,1,-0.03,0.09,0.11,-0.02,0.12,0.12
OLS,RESIDUAL,1,0.12,0.02,-0.16,0.08,-0.01,0.12
OLS,RESIDUAL,1,0.04,0.20,-0.02,0.08,-0.00,0.09
OLS,RESIDUAL,1,-0.11,0.02,-0.02,-0.16,-0.06,-0.19
OLS,RESIDUAL,1,-0.01,-0.87,0.10,-0.02,-0.20,-0.51
OLS,RESIDUAL,1,-0.01,0.12,0.15,-0.04,0.13,0.14
OLS,RESIDUAL,1,-0.06,-0.08,0.04,-0.05,-0.07,-0.21
OLS,RESIDUAL,1,0.08,-0.04,0.05,0.04,0.07,0.03
OLS,RESIDUAL,1,0.06,0.40,-0.15,0.07,0.07,0.29
OLS,RESIDUAL,1,-0.06,0.06,-0.01,0.09,0.07,0.09
OLS,RESIDUAL,1,0.04,-0.38,-0.02,-0.07,-0.08,-0.20
OLS,RESIDUAL,1,0.01,-0.04,0.12,-0.05,-0.13,-0.16
OLS,RESIDUAL,1,-0.03,-0.13,0.05,-0.10,0.00,-0.03
OLS,RESIDUAL,1,-0.06,-0.14,-0.10,0.08,-0.00,-0.07
OLS,RESIDUAL,1,0.05,0.18,0.00,0.00,0.13,0.13
OLS,RESIDUAL,1,0.05,0.14,0.04,-0.01,-0.12,-0.24
OLS,RESIDUAL,1,-0.07,-0.61,0.10,-0.09,-0.06,-0.11
OLS,RESIDUAL,1,-0.08,-0.22,0.16,-0.09,0.02,-0.20
OLS,RESIDUAL,1,-0.01,-0.03,-0.09,0.10,0.03,0.01
OLS,RESIDUAL,1,0.09,0.16,0.01,-0.02,-0.04,0.01
OLS,RESIDUAL,1,0.05,0.16,-0.09,0.06,0.06,0.21
OLS,RESIDUAL,1,-0.04,0.02,0.06,-0.02,0.00,-0.05
OLS,RESIDUAL,1,-0.07,-0.37,-0.01,-0.07,-0.12,-0.48
OLS,RESIDUAL,1,-0.02,0.09,0.11,-0.02,0.11,0.06
OLS,RESIDUAL,1,0.09,0.13,-0.06,0.07,0.01,0.12
OLS,RESIDUAL,1,0.02,0.05,-0.07,0.09,-0.01,-0.05
OLS,RESIDUAL,1,0.02,-0.07,0.00,-0.08,0.06,-0.15
OLS,RESIDUAL,1,-0.05,-0.20,0.06,-0.03,-0.07,-0.08
OLS,RESIDUAL,1,0.01,-0.14,0.05,-0.02,-0.05,-0.11
OLS,RESIDUAL,1,-0.14,-0.28,0.12,-0.17,-0.17,-0.29
OLS,RESIDUAL,1,0.04,0.01,-0.02,0.02,0.04,-0.16
OLS,RESIDUAL,1,0.03,0.05,0.05,0.06,0.02,0.04
OLS,RESIDUAL,1,-0.03,0.11,-0.03,0.03,0.06,0.17
OLS,RESIDUAL,1,0.07,-0.06,0.00,0.05,-0.06,0.08
OLS,RESIDUAL,1,-0.03,0.07,-0.01,-0.03,0.11,-0.04
OLS,RESIDUAL,1,-0.03,-0.22,-0.02,0.01,-0.09,-0.28
OLS,RESIDUAL,1,0.03,-0.47,0.04,-0.08,-0.04,-0.29
OLS,RESIDUAL,1,-0.09,0.10,0.19,-0.13,-0.06,0.05
OLS,RESIDUAL,1,0.03,-0.16,0.01,0.12,0.03,0.02
OLS,RESIDUAL,1,-0.05,-0.30,0.09,-0.10,-0.08,-0.60
OLS,RESIDUAL,1,-0.04,-0.18,0.13,-0.06,-0.05,-0.01
OLS,RESIDUAL,1,0.00,-0.14,0.02,0.00,-0.01,-0.34
OLS,RESIDUAL,1,0.02,-0.10,0.08,-0.01,-0.02,-0.14
OLS,RESIDUAL,1,-0.00,-0.08,-0.05,0.03,-0.03,0.06
OLS,RESIDUAL,1,0.02,0.17,0.02,0.03,0.05,0.13
OLS,RESIDUAL,1,0.05,0.12,0.03,-0.06,-0.03,-0.04
OLS,RESIDUAL,1,-0.00,-0.18,-0.01,0.04,0.02,-0.08
OLS,RESIDUAL,1,-0.05,-0.15,0.08,-0.05,-0.03,-0.14
OLS,RESIDUAL,1,0.02,-0.20,0.04,0.04,-0.03,-0.11
OLS,RESIDUAL,1,0.00,-0.12,-0.07,0.01,0.01,0.04
OLS,RESIDUAL,1,-0.10,-0.16,0.33,-0.17,-0.10,-0.12
OLS,RESIDUAL,1,0.06,-0.09,-0.04,0.10,0.07,-0.06
OLS,RESIDUAL,1,0.03,-0.17,-0.00,0.00,-0.02,0.00
OLS,RESIDUAL,1,-0.06,-0.39,0.11,-0.07,-0.02,-0.36
OLS,RESIDUAL,1,0.02,0.09,0.03,0.00,0.03,0.05
OLS,RESIDUAL,1,0.03,0.12,-0.08,0.05,0.01,0.07
OLS,RESIDUAL,1,0.11,0.24,-0.03,0.05,0.06,0.24
OLS,RESIDUAL,1,0.02,0.11,-0.05,0.04,0.00,0.01
OLS,RESIDUAL,1,-0.11,-0.28,0.16,-0.01,-0.06,-0.27
OLS,RESIDUAL,1,0.17,0.37,-0.13,0.05,0.14,0.35
OLS,RESIDUAL,1,0.01,0.39,-0.12,0.10,0.10,0.34
OLS,RESIDUAL,1,-0.10,0.13,0.11,-0.07,-0.01,-0.05
OLS,RESIDUAL,1,0.13,0.06,-0.10,0.09,0.08,0.09
OLS,RESIDUAL,1,-0.05,0.06,-0.10,0.03,-0.05,0.14
OLS,RESIDUAL,1,-0.08,-0.44,0.22,-0.13,-0.20,-0.26
OLS,RESIDUAL,1,0.24,0.57,-0.29,0.20,0.34,0.69
OLS,RESIDUAL,1,-0.19,-0.32,0.23,-0.19,-0.18,-0.15
OLS,RESIDUAL,1,0.02,0.06,0.01,0.07,0.09,-0.01
OLS,RESIDUAL,1,0.15,0.23,-0.14,0.14,0.08,0.20
