_ESTYPE_,_TYPE_,_WEIGHT_,Banten,DIY,DKI_Jakarta,Jawa_Barat,Jawa_Tengah,Jawa_Timur
OLS,RESIDUAL,1,0.03,-0.15,0.05,-0.09,-0.09,-0.33
OLS,RESIDUAL,1,0.03,0.24,-0.02,0.11,0.10,0.19
OLS,RESIDUAL,1,0.02,0.21,-0.14,0.02,0.10,0.37
OLS,RESIDUAL,1,0.06,0.24,-0.01,-0.01,-0.00,0.20
OLS,RESIDUAL,1,-0.07,-0.28,0.03,-0.11,-0.11,-0.27
OLS,RESIDUAL,1,-0.35,-0.01,0.12,-0.08,-0.03,-0.24
OLS,RESIDUAL,1,0.08,-0.54,0.08,-0.11,-0.09,-0.74
OLS,RESIDUAL,1,0.08,0.07,0.07,0.19,0.04,0.07
OLS,RESIDUAL,1,0.04,0.02,-0.06,0.08,0.06,0.25
OLS,RESIDUAL,1,0.06,0.38,-0.07,0.05,0.05,0.17
OLS,RESIDUAL,1,0.09,0.11,-0.17,-0.02,0.04,0.29
OLS,RESIDUAL,1,-0.09,-0.17,0.15,-0.09,0.02,-0.04
OLS,RESIDUAL,1,-0.03,-0.21,0.26,-0.00,-0.14,-0.46
OLS,RESIDUAL,1,-0.03,0.10,-0.21,0.05,0.10,0.29
OLS,RESIDUAL,1,0.02,0.11,-0.04,0.04,-0.02,0.14
OLS,RESIDUAL,1,0.10,-0.08,-0.03,0.05,0.04,-0.03
OLS,RESIDUAL,1,-0.08,-0.17,0.06,-0.12,-0.03,-0.06
OLS,RESIDUAL,1,-0.14,0.09,0.03,-0.02,-0.04,-0.16
OLS,RESIDUAL,1,0.08,-0.16,0.07,0.03,-0.03,-0.06
OLS,RESIDUAL,1,-0.03,-0.17,0.04,-0.03,0.04,-0.08
OLS,RESIDUAL,1,0.11,0.35,-0.05,0.10,0.01,0.24
OLS,RESIDUAL,1,0.01,0.21,-0.09,0.04,0.06,0.13
OLS,RESIDUAL,1,0.01,-0.01,-0.12,0.04,0.11,0.46
OLS,RESIDUAL,1,-0.09,-0.15,0.02,-0.15,-0.22,-0.43
OLS,RESIDUAL,1,0.03,0.11,-0.03,0.02,0.06,-0.04
OLS,RESIDUAL,1,0.01,-0.08,0.12,-0.01,-0.03,-0.04
OLS,RESIDUAL,1,0.10,0.28,-0.09,0.07,0.08,0.20
OLS,RESIDUAL,1,0.08,0.34,-0.12,0.11,0.16,0.34
OLS,RESIDUAL,1,0.07,0.25,-0.05,-0.02,0.03,0.24
OLS,RESIDUAL,1,0.06,0.19,-0.02,-0.01,0.10,0.21
OLS,RESIDUAL,1,-0.19,-0.73,0.25,-0.21,-0.21,-0.86
OLS,RESIDUAL,1,-0.07,-0.40,0.04,0.09,-0.09,-0.23
OLS,RESIDUAL,1,0.24,0.53,-0.21,0.27,0.16,0.45
OLS,RESIDUAL,1,0.35,0.89,-0.35,0.28,0.33,0.99
OLS,RESIDUAL,1,-0.14,0.01,-0.07,-0.20,-0.05,-0.03
OLS,RESIDUAL,1,-0.31,-0.67,0.08,-0.45,-0.42,-0.69
OLS,RESIDUAL,1,0.20,0.42,0.22,0.24,0.23,-0.09
OLS,RESIDUAL,1,-0.02,-0.12,-0.02,-0.08,0.05,-0.02
OLS,RESIDUAL,1,-0.04,-0.08,-0.15,0.07,-0.03,0.24
OLS,RESIDUAL,1,0.22,0.48,-0.09,0.15,0.12,0.41
