_ESTYPE_,_TYPE_,_WEIGHT_,Banten,DIY,DKI_Jakarta,Jawa_Barat,Jawa_Tengah,Jawa_Timur
OLS,RESIDUAL,1,0.26,0.27,0.56,0.04,0.47,0.15
OLS,RESIDUAL,1,0.32,0.02,0.50,-0.00,0.72,0.14
OLS,RESIDUAL,1,0.47,0.54,0.33,0.19,0.58,0.66
OLS,RESIDUAL,1,0.55,0.65,0.32,0.13,0.91,0.82
OLS,RESIDUAL,1,0.02,-0.36,1.12,-0.57,0.17,-0.32
OLS,RESIDUAL,1,-0.14,-0.45,0.17,-0.28,0.58,-0.66
OLS,RESIDUAL,1,1.08,0.18,0.80,0.96,0.40,0.40
OLS,RESIDUAL,1,-0.52,0.03,0.41,-0.58,0.77,-0.05
OLS,RESIDUAL,1,0.77,0.15,0.59,0.54,0.35,0.27
OLS,RESIDUAL,1,-0.01,0.08,0.51,-0.14,0.87,0.10
OLS,RESIDUAL,1,0.40,0.24,0.39,0.18,0.36,0.21
OLS,RESIDUAL,1,0.43,0.08,0.58,0.21,0.78,0.09
OLS,RESIDUAL,1,-0.03,-0.22,0.64,-0.26,0.26,-0.04
OLS,RESIDUAL,1,0.35,0.00,0.61,0.22,0.72,-0.23
OLS,RESIDUAL,1,0.09,-0.08,0.56,-0.03,0.38,-0.10
OLS,RESIDUAL,1,0.46,0.59,0.40,0.39,0.82,0.54
OLS,RESIDUAL,1,0.10,-0.01,0.66,-0.17,0.45,0.05
OLS,RESIDUAL,1,0.14,-0.22,0.61,-0.04,0.52,-0.23
OLS,RESIDUAL,1,0.27,-0.06,0.54,0.22,0.57,-0.01
OLS,RESIDUAL,1,-0.12,-0.34,0.83,-0.01,0.33,-0.45
OLS,RESIDUAL,1,0.10,0.09,0.38,0.35,0.67,0.17
OLS,RESIDUAL,1,0.25,0.13,0.58,0.44,0.49,0.24
OLS,RESIDUAL,1,-0.03,0.44,0.42,0.15,0.78,0.32
OLS,RESIDUAL,1,0.06,-0.39,0.73,0.03,0.26,-0.37
OLS,RESIDUAL,1,0.24,-0.14,0.45,0.37,0.73,0.19
OLS,RESIDUAL,1,0.10,-0.15,0.62,0.20,0.33,-0.36
OLS,RESIDUAL,1,0.24,0.23,0.50,0.46,0.80,0.26
OLS,RESIDUAL,1,-0.02,-0.02,0.58,0.05,0.36,0.13
OLS,RESIDUAL,1,0.31,0.69,0.34,0.41,0.89,0.80
OLS,RESIDUAL,1,0.01,-0.19,0.67,-0.16,0.40,-0.29
OLS,RESIDUAL,1,0.28,-0.11,0.54,0.23,0.56,-0.11
OLS,RESIDUAL,1,0.14,0.11,0.67,0.18,0.60,0.12
OLS,RESIDUAL,1,0.02,0.07,0.40,0.04,0.60,0.18
OLS,RESIDUAL,1,0.46,0.29,0.58,0.45,0.58,0.22
OLS,RESIDUAL,1,-0.15,0.07,0.49,-0.18,0.56,-0.16
OLS,RESIDUAL,1,0.37,-0.74,0.62,0.29,0.30,-0.38
OLS,RESIDUAL,1,0.28,0.22,0.59,0.45,0.68,0.25
OLS,RESIDUAL,1,-0.21,-0.14,0.61,-0.09,0.41,-0.28
OLS,RESIDUAL,1,0.34,0.13,0.56,0.47,0.66,0.20
OLS,RESIDUAL,1,-0.01,0.38,0.43,0.07,0.58,0.26
