_ESTYPE_,_TYPE_,_WEIGHT_,Banten,DIY,DKI_Jakarta,Jawa_Barat,Jawa_Tengah,Jawa_Timur
OLS,RESIDUAL,1,0.54,0.37,0.51,0.60,0.16,0.16
OLS,RESIDUAL,1,0.73,0.00,0.30,0.56,-0.03,0.17
OLS,RESIDUAL,1,0.61,0.65,0.29,0.78,0.21,0.70
OLS,RESIDUAL,1,0.84,0.63,0.08,0.67,-0.23,0.80
OLS,RESIDUAL,1,0.18,-0.23,1.05,0.32,-0.87,-0.24
OLS,RESIDUAL,1,0.65,-0.46,0.08,0.61,-0.11,-0.67
OLS,RESIDUAL,1,0.52,0.26,0.84,0.44,0.74,0.47
OLS,RESIDUAL,1,0.70,0.06,0.03,0.73,-0.00,-0.01
OLS,RESIDUAL,1,0.55,0.20,0.73,0.41,0.18,0.25
OLS,RESIDUAL,1,0.66,0.11,0.15,0.78,0.05,0.16
OLS,RESIDUAL,1,0.60,0.34,0.47,0.44,0.12,0.24
OLS,RESIDUAL,1,0.63,0.05,0.31,0.76,-0.04,0.10
OLS,RESIDUAL,1,0.44,-0.09,0.63,0.26,-0.13,0.07
OLS,RESIDUAL,1,0.61,-0.03,0.46,0.74,0.23,-0.30
OLS,RESIDUAL,1,0.55,0.03,0.47,0.36,0.26,0.05
OLS,RESIDUAL,1,0.72,0.56,0.29,0.86,0.47,0.50
OLS,RESIDUAL,1,0.56,0.06,0.45,0.39,-0.34,0.14
OLS,RESIDUAL,1,0.47,-0.19,0.60,0.61,-0.09,-0.23
OLS,RESIDUAL,1,0.62,0.01,0.39,0.48,0.32,0.04
OLS,RESIDUAL,1,0.24,-0.28,0.75,0.49,0.11,-0.41
OLS,RESIDUAL,1,0.86,0.11,0.28,0.60,0.63,0.21
OLS,RESIDUAL,1,0.38,0.17,0.41,0.64,0.15,0.24
OLS,RESIDUAL,1,0.77,0.50,0.33,0.53,0.23,0.37
OLS,RESIDUAL,1,0.33,-0.35,0.56,0.53,-0.38,-0.33
OLS,RESIDUAL,1,0.80,-0.10,0.46,0.53,0.43,0.23
OLS,RESIDUAL,1,0.34,-0.06,0.38,0.58,0.09,-0.36
OLS,RESIDUAL,1,0.82,0.24,0.53,0.57,0.62,0.34
OLS,RESIDUAL,1,0.42,0.05,0.27,0.63,-0.09,0.15
OLS,RESIDUAL,1,0.78,0.71,0.40,0.58,0.31,0.79
OLS,RESIDUAL,1,0.43,-0.11,0.33,0.64,-0.53,-0.24
OLS,RESIDUAL,1,0.65,-0.07,0.68,0.40,0.13,-0.06
OLS,RESIDUAL,1,0.46,0.16,0.37,0.70,0.27,0.17
OLS,RESIDUAL,1,0.72,0.11,0.39,0.47,0.19,0.21
OLS,RESIDUAL,1,0.53,0.32,0.39,0.78,0.13,0.20
OLS,RESIDUAL,1,0.57,0.12,0.39,0.31,-0.16,-0.07
OLS,RESIDUAL,1,0.51,-0.71,0.56,0.71,0.02,-0.34
OLS,RESIDUAL,1,0.62,0.29,0.49,0.35,0.58,0.23
OLS,RESIDUAL,1,0.47,-0.08,0.43,0.74,0.13,-0.20
OLS,RESIDUAL,1,0.68,0.12,0.53,0.36,0.32,0.18
OLS,RESIDUAL,1,0.56,0.48,0.23,0.84,0.24,0.35
OLS,RESIDUAL,1,0.57,0.14,0.48,0.42,-0.11,0.20
OLS,RESIDUAL,1,0.57,-0.19,0.37,0.72,0.04,-0.02
OLS,RESIDUAL,1,0.60,0.11,0.57,0.40,0.17,-0.03
OLS,RESIDUAL,1,0.56,-0.04,0.42,0.66,0.15,0.07
OLS,RESIDUAL,1,0.55,-0.02,0.39,0.47,0.11,0.03
OLS,RESIDUAL,1,0.61,0.29,0.42,0.69,0.38,0.25
OLS,RESIDUAL,1,0.59,0.20,0.39,0.49,-0.09,-0.17
OLS,RESIDUAL,1,0.54,-0.45,0.59,0.56,0.04,0.07
OLS,RESIDUAL,1,0.53,-0.06,0.53,0.44,0.27,-0.11
OLS,RESIDUAL,1,0.55,0.05,0.37,0.68,0.42,0.11
OLS,RESIDUAL,1,0.62,0.24,0.45,0.46,0.22,0.07
OLS,RESIDUAL,1,0.60,0.26,0.31,0.73,0.15,0.32
OLS,RESIDUAL,1,0.57,0.13,0.50,0.43,-0.13,0.05
OLS,RESIDUAL,1,0.52,-0.22,0.40,0.62,-0.07,-0.31
OLS,RESIDUAL,1,0.58,0.24,0.56,0.44,0.42,0.18
OLS,RESIDUAL,1,0.60,0.17,0.26,0.74,0.17,0.14
OLS,RESIDUAL,1,0.59,0.18,0.45,0.50,0.04,0.08
OLS,RESIDUAL,1,0.61,0.06,0.35,0.67,0.13,-0.02
OLS,RESIDUAL,1,0.55,-0.08,0.50,0.48,0.16,0.04
OLS,RESIDUAL,1,0.62,-0.01,0.43,0.66,0.30,-0.00
OLS,RESIDUAL,1,0.44,-0.19,0.55,0.34,0.07,-0.19
OLS,RESIDUAL,1,0.66,0.16,0.41,0.68,0.48,-0.02
OLS,RESIDUAL,1,0.52,0.09,0.44,0.46,0.15,0.07
OLS,RESIDUAL,1,0.60,0.25,0.42,0.68,0.28,0.30
OLS,RESIDUAL,1,0.57,0.02,0.40,0.51,-0.12,0.16
OLS,RESIDUAL,1,0.56,0.24,0.48,0.61,0.11,0.12
OLS,RESIDUAL,1,0.53,-0.13,0.36,0.54,-0.07,-0.18
OLS,RESIDUAL,1,0.60,-0.30,0.53,0.53,0.30,-0.14
OLS,RESIDUAL,1,0.50,0.20,0.50,0.49,0.42,0.12
OLS,RESIDUAL,1,0.61,-0.11,0.44,0.66,0.21,0.08
OLS,RESIDUAL,1,0.46,-0.16,0.56,0.39,0.10,-0.48
OLS,RESIDUAL,1,0.58,-0.04,0.57,0.62,0.56,0.14
OLS,RESIDUAL,1,0.49,-0.10,0.40,0.47,0.19,-0.35
OLS,RESIDUAL,1,0.61,0.04,0.61,0.59,0.56,0.02
OLS,RESIDUAL,1,0.51,-0.03,0.26,0.57,0.21,0.08
OLS,RESIDUAL,1,0.61,0.31,0.59,0.60,0.38,0.26
OLS,RESIDUAL,1,0.55,0.18,0.31,0.54,-0.09,0.03
OLS,RESIDUAL,1,0.58,-0.01,0.58,0.56,0.08,0.09
OLS,RESIDUAL,1,0.51,-0.03,0.40,0.51,0.04,-0.04
OLS,RESIDUAL,1,0.60,-0.06,0.56,0.59,0.25,0.02
OLS,RESIDUAL,1,0.54,-0.03,0.28,0.56,0.17,0.11
OLS,RESIDUAL,1,0.49,-0.04,0.84,0.44,0.18,-0.01
OLS,RESIDUAL,1,0.59,0.01,0.25,0.66,0.15,0.05
OLS,RESIDUAL,1,0.53,-0.05,0.65,0.43,0.15,0.11
OLS,RESIDUAL,1,0.52,-0.28,0.41,0.61,0.12,-0.26
OLS,RESIDUAL,1,0.58,0.23,0.57,0.45,0.49,0.18
OLS,RESIDUAL,1,0.55,0.16,0.25,0.70,0.17,0.10
OLS,RESIDUAL,1,0.67,0.38,0.51,0.47,0.19,0.37
OLS,RESIDUAL,1,0.57,0.20,0.27,0.73,-0.14,0.10
OLS,RESIDUAL,1,0.53,-0.12,0.70,0.39,-0.12,-0.09
OLS,RESIDUAL,1,0.74,0.53,0.21,0.79,0.31,0.49
OLS,RESIDUAL,1,0.55,0.43,0.40,0.52,-0.22,0.38
OLS,RESIDUAL,1,0.57,0.31,0.53,0.63,-0.21,0.15
OLS,RESIDUAL,1,0.64,0.21,0.33,0.56,-0.13,0.25
OLS,RESIDUAL,1,0.51,0.21,0.42,0.64,-0.06,0.28
OLS,RESIDUAL,1,0.52,-0.31,0.61,0.42,-0.28,-0.13
OLS,RESIDUAL,1,0.76,0.76,0.15,0.83,0.47,0.87
OLS,RESIDUAL,1,0.32,-0.34,0.66,0.29,-0.70,-0.15
OLS,RESIDUAL,1,0.70,0.37,0.46,0.74,0.34,0.32
OLS,RESIDUAL,1,0.50,0.22,0.25,0.52,-0.20,0.19
